mouth_open_ratio,mouth_width_ratio,left_eye_open_ratio,right_eye_open_ratio,eyebrow_raise_left,eyebrow_raise_right,head_yaw,head_pitch,head_roll,face_width,face_height,label
0.0037449959199875593,0.32683393359184265,0.5949429869651794,0.6360912322998047,0.13594821095466614,0.14146623015403748,-0.010765993036329746,0.2406592071056366,-2.723689079284668,0.21947047114372253,0.4501277506351471,0
0.00246441550552845,0.321696937084198,0.5739578604698181,0.6091600060462952,0.13369110226631165,0.1409280151128769,-0.011010657995939255,0.24322183430194855,-2.850766181945801,0.2207486629486084,0.45180919766426086,0
0.0026842902880162,0.32280614972114563,0.5742723941802979,0.580786943435669,0.13339486718177795,0.13951615989208221,-0.014069548808038235,0.24241596460342407,-3.3082287311553955,0.22104626893997192,0.4505334794521332,0
0.0008665682980790734,0.32705438137054443,0.5739700198173523,0.5787090063095093,0.13327735662460327,0.13789650797843933,-0.014069805853068829,0.2407037615776062,-4.245115756988525,0.22090879082679749,0.45348483324050903,0
0.0036094984970986843,0.32826197147369385,0.5886114835739136,0.5935907363891602,0.13322418928146362,0.13492333889007568,-0.011882939375936985,0.24671976268291473,-3.725736379623413,0.22081619501113892,0.45125812292099,0
0.0021571905817836523,0.3281046748161316,0.5708355903625488,0.6038389205932617,0.13215120136737823,0.1399710327386856,-0.015721408650279045,0.2449624389410019,-3.4086802005767822,0.22022929787635803,0.45195314288139343,0
0.0026449980214238167,0.3230152428150177,0.5830953121185303,0.6003568172454834,0.13107842206954956,0.14062584936618805,-0.021371634677052498,0.24874678254127502,-3.6605310440063477,0.2207392454147339,0.45264267921447754,0
0.002879028907045722,0.32958757877349854,0.5747315883636475,0.5972661972045898,0.12635011970996857,0.13832248747348785,-0.01871347427368164,0.25359946489334106,-3.5702128410339355,0.21931137144565582,0.45153647661209106,0
0.005269152112305164,0.32557106018066406,0.5632194876670837,0.5884596705436707,0.1263432502746582,0.13888172805309296,-0.010702879168093204,0.25190064311027527,-4.226914405822754,0.2199515849351883,0.45352357625961304,0
0.002136146416887641,0.323759526014328,0.5339711308479309,0.6093147993087769,0.12696407735347748,0.14019633829593658,-0.0004173862107563764,0.25186237692832947,-4.245772838592529,0.21991898119449615,0.45124000310897827,0
0.0016758613055571914,0.3283776044845581,0.5335622429847717,0.6520015597343445,0.12491118907928467,0.14145326614379883,-0.0005861488170921803,0.2499816119670868,-3.3557775020599365,0.2202574759721756,0.45294398069381714,0
